Date,Time,FTP,Open,Close,Volume,Bid
06-01-2020,14:05:19,1501,1520,1537.15,8583477,1500.9
06-01-2020,14:05:23,1500.95,1520,1537.15,8586134,1500.9
06-01-2020,14:05:28,1501.2,1520,1537.15,8586785,1500.9
06-01-2020,14:05:33,1501,1520,1537.15,8587648,1500.9
06-01-2020,14:05:37,1501.15,1520,1537.15,8588322,1500.9
06-01-2020,14:05:43,1501.4,1520,1537.15,8588718,1500.9
06-01-2020,14:05:48,1502.7,1520,1537.15,8593469,1500.9
06-01-2020,14:05:53,1503.95,1520,1537.15,8606359,1503.5
06-01-2020,14:05:57,1503.95,1520,1537.15,8606431,1503.5
06-01-2020,14:06:02,1503.7,1520,1537.15,8614793,1503.5
06-01-2020,14:06:06,1503.2,1520,1537.15,8616415,1503.5
06-01-2020,14:06:11,1502.8,1520,1537.15,8617572,1503.5
06-01-2020,14:06:16,1503,1520,1537.15,8618560,1503.5
06-01-2020,14:06:21,1503.05,1520,1537.15,8620292,1503.5
06-01-2020,14:06:25,1502.8,1520,1537.15,8620791,1503.5
06-01-2020,14:06:30,1503,1520,1537.15,8621618,1503.5
06-01-2020,14:06:34,1503,1520,1537.15,8622965,1503.5
06-01-2020,14:06:39,1503.6,1520,1537.15,8625130,1503
06-01-2020,14:06:43,1503,1520,1537.15,8626009,1503
06-01-2020,14:06:48,1502.95,1520,1537.15,8627362,1503
06-01-2020,14:06:53,1502.95,1520,1537.15,8628048,1503
06-01-2020,14:06:58,1503,1520,1537.15,8629661,1503
06-01-2020,14:07:03,1502.95,1520,1537.15,8629477,1503
06-01-2020,14:07:08,1502.85,1520,1537.15,8630769,1503
06-01-2020,14:07:13,1503,1520,1537.15,8631350,1503
06-01-2020,14:07:18,1503,1520,1537.15,8632297,1503
06-01-2020,14:07:23,1503,1520,1537.15,8633635,1503
06-01-2020,14:07:27,1503.35,1520,1537.15,8633747,1503
06-01-2020,14:07:32,1503.4,1520,1537.15,8634239,1503
06-01-2020,14:07:37,1503.75,1520,1537.15,8635197,1503
06-01-2020,14:07:41,1504.5,1520,1537.15,8639328,1503
06-01-2020,14:07:46,1503.8,1520,1537.15,8649171,1503
06-01-2020,14:07:51,1504,1520,1537.15,8663472,1503
06-01-2020,14:07:55,1503.15,1520,1537.15,8670791,1503
06-01-2020,14:07:59,1503.3,1520,1537.15,8685763,1503
06-01-2020,14:08:04,1504.15,1520,1537.15,8701286,1503
06-01-2020,14:08:09,1503.75,1520,1537.15,8703914,1503
06-01-2020,14:08:13,1504.45,1520,1537.15,8705958,1504.1
06-01-2020,14:08:18,1504.15,1520,1537.15,8707215,1504.1
06-01-2020,14:08:23,1504,1520,1537.15,8707512,1504.1
06-01-2020,14:08:27,1504.6,1520,1537.15,8707998,1504.1
06-01-2020,14:08:32,1504.3,1520,1537.15,8708435,1504.1
06-01-2020,14:08:37,1504,1520,1537.15,8709881,1504.1
06-01-2020,14:08:41,1504,1520,1537.15,8709682,1504.1
06-01-2020,14:08:46,1504,1520,1537.15,8710392,1504.1
06-01-2020,14:08:50,1504.05,1520,1537.15,8712979,1504.1
06-01-2020,14:08:55,1504.9,1520,1537.15,8713280,1504.1
06-01-2020,14:09:00,1504.65,1520,1537.15,8714093,1504.7
06-01-2020,14:09:04,1504.65,1520,1537.15,8714417,1504.7
06-01-2020,14:09:09,1504.35,1520,1537.15,8715213,1504.7
